name,ShortName,ModeAndPID,Equation,Min Value,Max Value,Units,Header
"PR_ЗНАЧЕНИЕ ТЕКУЩЕГО ПРОБЕГА В ЭБУ","PR121","2105","(1.0*(((A*16777216+B*65536+C*256+D)&268435455)))/100","0","0","km","740"
"PR_ПРОБЕГ А/М ПРИ ПЕРВОМ ПОЯВЛЕН НЕИСПРАВН","PR115","220209","0.0256*(A*65536+B*256+C)","0","0","km","740"
"PR_ПРОБЕГ А/М ПРИ ПОСЛЕДНЕМ ПОЯВЛ. НЕИСПР.","PR104","22020A","0.0256*(A*65536+B*256+C)","0","0","km","740"
"PR_СКОРОСТЬ ПЕРЕДНЕГО ЛЕВОГО КОЛЕСА","PR002","220200","A","0","0","км/час","740"
"PR_СКОРОСТЬ ПЕРЕДНЕГО ПРАВОГО КОЛЕСА","PR001","220201","A","0","0","км/час","740"
"PR_СКОРОСТЬ ЗАДНЕГО ЛЕВОГО КОЛЕСА","PR004","220202","A","0","0","км/час","740"
"PR_СКОРОСТЬ ЗАДНЕГО ПРАВОГО КОЛЕСА","PR003","220203","A","0","0","км/час","740"
"PR_СЧЕТЧИК ПОЯВЛЕНИЙ НЕИСПРАВНОСТЕЙ","PR124","22022B","A","0","0","","740"
"PR_ЧИСЛО ЦИКЛОВ СО ВРЕМЕНИ УСТР. НЕИСПР.","PR105","22022A","A","0","0","","740"
"PR_ЧИСЛО СЛУЧАЕВ ПОЯВЛЕНИЕ НЕИСПРАВНОСТИ","PR106","190682","E","0","0","","740"
"ST_ВЫКЛЮЧАТЕЛЬ АБС","ET028","2107","{J:6}","0","0","","740"
"ST_ДАТЧИК УГЛА ПОВОРОТА РУЛЕВОГО КОЛЕСА","ET106","2110","{T:6}","0","0","","740"
"ST_ПЕДАЛЬ ТОРМОЗА","ET017","2110","((A>1)&7)","0","0","","740"
"ST_ФУНКЦИЯ АБС","ET018","220208","{A:0}","0","0","","740"
"ST_ФУНКЦИЯ КОНТРОЛЯ ТРАЕКТОРИИ","ET022","220208","{A:2}","0","0","","740"
"ST_ФУНКЦИЯ ПРОТИВОПРОБУКСОВОЧНОГО РЕЖИМА","ET029","220208","{A:4}","0","0","","740"
"ST_ФУНКЦИЯ ЭЛЕКТРОННОГО РЕГУЛЯТ. ТОРМОЖЕНИЯ","ET019","220208","{A:6}","0","0","","740"
"ST_ФУНКЦИЯ УПРАВЛЕНИЯ КРУТ. МОМ. ДВИГАТЕЛЯ","ET020","220208","{B:7}","0","0","","740"
"ST_ПАРАМЕТРЫ АВТОМОБИЛЯ","ET026","220224","(A&7)","0","0","","740"
"ST_ПИТАНИЕ + ПОСЛЕ ВКЛЮЧЕНИЯ ЗАЖИГАНИЯ","ET120","220224","A","0","0","","740"
"ST_ДИАГНОСТ. МУЛЬТИП. СЕТИ","ET126","220224","A","0","0","","740"
"ST_ФУНКЦИЯ АБС","ET121","220208","{A:1}","0","0","","740"
"ST_ФУНКЦИЯ КОНТРОЛЯ ТРАЕКТОРИИ","ET122","220208","{A:3}","0","0","","740"
"ST_ФУНКЦИЯ ПРОТИВОПРОБУКСОВОЧНОГО РЕЖИМА","ET124","220208","{A:5}","0","0","","740"
"ST_ФУНКЦИЯ ЭЛЕКТРОННОГО РЕГУЛЯТ. ТОРМОЖЕНИЯ","ET125","220208","{A:7}","0","0","","740"
"ST_ФУНКЦИЯ УСИЛИТЕЛЯ АВАРИЙНОГО ТОРМОЖЕНИЯ","ET021","220208","B","0","0","","740"
"ST_ОТКЛ ВОДИТЕЛЕМ СИСТЕМЫ СТАБ ТРАЕКТОРИИ","ET036","22020D","{A:0}","0","0","","740"
"ST_ФУНКЦИЯ УСИЛИТЕЛЯ АВАРИЙНОГО ТОРМОЖЕНИЯ","ET129","220208","B","0","0","","740"
"ST_ФУНКЦИЯ ПРОГ. ЭКСТР. ТОРМ.","ET127","220208","B","0","0","","740"
"ST_ФУНКЦИЯ ПРОГ. ЭКСТР. ТОРМ.","ET128","220208","B","0","0","","740"
"ST_ТИП СТОЯНОЧНОГО ТОРМОЗА","LC018","2114","A","0","0","","740"
"ST_ТИП КОРОБКИ ПЕРЕДАЧ","LC008","210C","A","0","0","","740"
